大白菜,0.30,0.33,0.35,储存新,斤,2021-05-29
娃娃菜,0.50,0.55,0.60,大小,斤,2021-05-29
小白菜,0.60,0.65,0.70,普通,斤,2021-05-29
芹菜,0.70,0.85,1.00,冀,斤,2021-05-29
西芹,1.80,2.00,2.20,普通,斤,2021-05-29
菠菜,1.30,1.50,1.70,鲁冀,斤,2021-05-29
莴笋,1.20,1.40,1.60,闽浙鲁,斤,2021-05-29
团生菜,0.80,0.90,1.00,毛|净,斤,2021-05-29
圆白菜,0.30,0.40,0.50,冀,斤,2021-05-29
紫甘蓝,0.70,0.80,0.90,闽云,斤,2021-05-29
散叶生菜,1.00,1.40,1.80,京,斤,2021-05-29
油菜,0.80,1.00,1.20,鲁京,斤,2021-05-29
香菜,1.00,1.25,1.50,鲁冀,斤,2021-05-29
茴香,1.00,1.25,1.50,冀,斤,2021-05-29
韭菜,0.80,0.90,1.00,普通,斤,2021-05-29
韭菜苔,3.50,3.75,4.00,普通,斤,2021-05-29
苦菊,1.00,1.15,1.30,辽,斤,2021-05-29
油麦菜,1.40,1.55,1.70,京,斤,2021-05-29
散菜花,1.10,1.30,1.50,豫苏,斤,2021-05-29
绿菜花,1.50,1.75,2.00,冀 苏陕,斤,2021-05-29
